RPISEC, CSAW US-Canada
Perfect Blue, CSAW US-Canada
UMBC Cyber Dawgs, CSAW US-Canada
Sice Squad, CSAW US-Canada
DCIETS, CSAW US-Canada
dcua, CSAW US-Canada
Northern Coalition, CSAW US-Canada
Mad H@tters, CSAW US-Canada
TechSec, CSAW US-Canada
PPP, CSAW US-Canada
ALLES!, CSAW Europe
greunion, CSAW Europe
FluxFingers, CSAW Europe
spritzers, CSAW Europe
STT, CSAW Europe
NOPS, CSAW Europe
TRX, CSAW Europe
EmpireCTF, CSAW Europe
LosFuzzys, CSAW Europe
Tower of Hanoi, CSAW Europe
zed, CSAW India
bi0s, CSAW India
InfoSecIITR, CSAW India
NULLKrypt3rs, CSAW India
Dreadsec_iiita, CSAW India
pwnhack, CSAW India
ByteBandits, CSAW India
eavesdroppers, CSAW India
jhandu, CSAW India
Scrypter, CSAW India
d4rkc0de, CSAW India
noxale, CSAW Israel
Haifa, CSAW Israel
noxFort, CSAW Israel
babyr00t, CSAW Israel
Beta_securiteam, CSAW Israel
Anoxia, CSAW Israel
Maccabim, CSAW Israel
Mayas, CSAW Mexico
MISTIForce, CSAW Mexico
Ping-Pwn3d, CSAW Mexico
3s1M105 43V3R, CSAW Mexico
XOR, CSAW Mexico
hxh, CSAW Mexico
BlueHat, CSAW MENA
DC21321, CSAW MENA
DEADSEC, CSAW MENA
th3jackers, CSAW MENA
Noobs in the Hood, CSAW MENA

